parameter,pct_change,peak_benefit_mean,peak_benefit_sd,total_benefit_mean,total_benefit_sd
a,-30,20.485836,5.324794,27.687612,0.965703
a,-20,18.811406,5.522710,27.018487,1.067323
a,-10,17.243795,6.584066,26.309889,1.182635
a,0,17.012576,6.540464,25.608408,1.165165
a,10,15.495413,6.506785,24.846120,1.141362
a,20,13.601150,7.101971,24.061342,1.197036
a,30,14.030194,7.465053,23.254051,1.420453
w,-30,16.848292,4.887091,25.561886,0.778633
w,-20,17.018366,5.137555,25.603910,0.883902
w,-10,16.362736,6.034123,25.642383,1.012654
w,0,16.071344,6.669155,25.420358,1.202514
w,10,16.476290,6.783883,25.546546,1.256837
w,20,15.778974,6.880483,25.546024,1.336187
w,30,16.327461,8.221985,25.402457,1.515440
lam,-30,8.670023,8.160911,27.436069,1.466609
lam,-20,11.609735,8.100256,26.930346,1.218170
lam,-10,14.651584,6.825731,26.129906,1.261413
lam,0,16.529872,6.703132,25.547736,1.258437
lam,10,17.855277,6.164446,24.881162,1.060876
lam,20,18.748406,5.742790,24.430050,0.978522
lam,30,21.164703,5.350144,23.813823,1.093170
f,-30,11.034096,8.011108,25.902535,1.212488
f,-20,13.345070,8.042361,25.802475,1.154578
f,-10,15.516547,6.582405,25.634361,1.204566
f,0,15.477453,6.632791,25.446416,1.177554
f,10,17.064233,5.238374,25.394425,1.111722
f,20,17.122206,6.313249,25.444800,1.157885
f,30,17.686637,5.568748,25.452751,1.124604
