parameter,pct_change,replicate,peak_benefit_percent,total_benefit_percent
a,-30,1,20.757124,26.564146
a,-30,2,24.135033,29.016431
a,-30,3,17.866205,26.828815
a,-30,4,27.756037,28.868391
a,-30,5,20.516127,28.082820
a,-30,6,18.976048,25.133656
a,-30,7,16.181813,25.489502
a,-30,8,19.315853,28.113399
a,-30,9,21.430137,28.016803
a,-30,10,19.488958,28.173412
a,-30,11,19.504050,26.165472
a,-30,12,25.283752,27.801334
a,-30,13,23.777049,28.253943
a,-30,14,27.545528,27.415615
a,-30,15,19.527934,26.290763
a,-30,16,20.794569,26.863198
a,-30,17,16.139981,26.106758
a,-30,18,19.009881,27.373151
a,-30,19,17.751592,27.567999
a,-30,20,18.691470,27.741636
a,-30,21,11.451552,27.099237
a,-30,22,18.088211,28.275578
a,-30,23,19.039780,27.293026
a,-30,24,19.279911,26.768834
a,-30,25,21.246059,28.517761
a,-30,26,24.160142,27.116237
a,-30,27,19.676265,26.987474
a,-30,28,30.720718,28.768458
a,-30,29,18.693705,29.142267
a,-30,30,18.925073,26.584419
a,-30,31,16.714802,27.434412
a,-30,32,25.767156,27.148145
a,-30,33,20.148064,27.249858
a,-30,34,16.749824,26.003948
a,-30,35,20.100011,27.779544
a,-30,36,17.090815,28.582726
a,-30,37,25.681746,27.052781
a,-30,38,20.632331,27.579689
a,-30,39,19.940519,28.020081
a,-30,40,30.157377,29.147990
a,-30,41,17.440732,28.007956
a,-30,42,30.459355,28.620470
a,-30,43,16.321874,26.181253
a,-30,44,19.766671,28.552138
a,-30,45,22.813521,27.592350
a,-30,46,18.261039,26.820251
a,-30,47,10.217109,28.522813
a,-30,48,29.758722,29.382130
a,-30,49,23.821253,28.727739
a,-30,50,16.874219,28.148210
a,-30,51,19.743315,28.342815
a,-30,52,25.441250,28.281085
a,-30,53,19.376718,26.878060
a,-30,54,31.525330,30.323056
a,-30,55,27.799646,27.288743
a,-30,56,20.900134,25.937180
a,-30,57,29.050593,27.600381
a,-30,58,23.879528,28.198910
a,-30,59,18.263497,27.558940
a,-30,60,17.476290,28.575188
a,-30,61,28.881671,28.185372
a,-30,62,18.917752,28.163321
a,-30,63,13.631678,27.065979
a,-30,64,28.785776,27.635625
a,-30,65,28.541226,27.739133
a,-30,66,20.063391,27.911663
a,-30,67,29.714680,29.120312
a,-30,68,16.585028,28.218625
a,-30,69,18.224724,26.691539
a,-30,70,19.124598,27.795485
a,-30,71,26.057745,28.622706
a,-30,72,18.423079,27.853110
a,-30,73,16.405193,25.585218
a,-30,74,28.332820,27.699511
a,-30,75,20.327759,29.447386
a,-30,76,19.624647,28.187123
a,-30,77,26.397851,29.531789
a,-30,78,26.724252,29.116125
a,-30,79,19.390953,26.798127
a,-30,80,20.681577,27.262537
a,-30,81,-0.405493,27.473889
a,-30,82,18.647656,28.441937
a,-30,83,17.507294,27.564099
a,-30,84,26.981549,28.086064
a,-30,85,27.763468,28.483623
a,-30,86,18.936075,28.337692
a,-30,87,31.401605,28.934562
a,-30,88,25.355207,27.645554
a,-30,89,16.564978,29.157975
a,-30,90,20.705434,29.512021
a,-30,91,16.212588,27.285463
a,-30,92,25.944768,28.632619
a,-30,93,12.417214,28.332971
a,-30,94,19.614251,28.181714
a,-30,95,29.389339,29.806273
a,-30,96,16.189857,26.028966
a,-30,97,14.744233,29.134006
a,-30,98,12.945013,26.787568
a,-30,99,16.708967,26.904544
a,-30,100,18.210827,26.737922
a,-30,101,19.369310,26.991750
a,-30,102,28.147527,27.385608
a,-30,103,18.434932,27.647578
a,-30,104,20.115968,29.022718
a,-30,105,29.988777,28.456949
a,-30,106,18.150946,26.611082
a,-30,107,12.545936,27.269059
a,-30,108,18.525850,26.427858
a,-30,109,13.565243,27.685452
a,-30,110,23.933792,28.288357
a,-30,111,25.560070,29.440808
a,-30,112,20.320954,28.017319
a,-30,113,23.276599,26.745875
a,-30,114,17.489907,26.249882
a,-30,115,19.634104,27.708597
a,-30,116,19.259556,27.062496
a,-30,117,14.472527,26.778735
a,-30,118,19.029737,28.579562
a,-30,119,18.324708,27.734602
a,-30,120,16.433021,26.781277
a,-30,121,18.634587,25.555399
a,-30,122,16.677293,26.836464
a,-30,123,18.257543,27.653351
a,-30,124,28.878469,28.811350
a,-30,125,24.988188,28.094911
a,-30,126,19.609169,28.549643
a,-30,127,18.781455,27.717503
a,-30,128,9.178114,28.708303
a,-30,129,30.536578,29.149785
a,-30,130,19.885571,27.867189
a,-30,131,20.411327,28.257873
a,-30,132,18.715545,26.423558
a,-30,133,15.338989,27.043147
a,-30,134,19.882081,26.714494
a,-30,135,18.081032,27.857569
a,-30,136,19.793576,27.770376
a,-30,137,16.137941,27.327097
a,-30,138,13.128670,28.932777
a,-30,139,23.330241,28.493362
a,-30,140,22.514355,28.837113
a,-30,141,19.762123,27.590321
a,-30,142,20.333169,26.319999
a,-30,143,18.583785,27.744849
a,-30,144,30.508836,28.718928
a,-30,145,18.888363,27.854081
a,-30,146,22.989597,28.637034
a,-30,147,22.120866,28.106720
a,-30,148,28.821365,27.886527
a,-30,149,21.278634,27.922291
a,-30,150,20.050809,27.106261
a,-30,151,28.762850,28.809864
a,-30,152,25.767923,29.037637
a,-30,153,16.401185,27.466035
a,-30,154,15.053768,27.449543
a,-30,155,18.394184,26.533440
a,-30,156,18.395456,28.766538
a,-30,157,16.896186,27.585814
a,-30,158,27.213755,26.780699
a,-30,159,15.478222,26.471719
a,-30,160,20.197235,28.392371
a,-30,161,22.948821,28.325602
a,-30,162,15.354705,27.637692
a,-30,163,18.608608,27.916152
a,-30,164,11.960274,26.971817
a,-30,165,16.097905,27.138543
a,-30,166,27.321884,29.470410
a,-30,167,20.413178,27.678765
a,-30,168,30.049772,28.414312
a,-30,169,19.092031,27.618096
a,-30,170,17.591583,28.056799
a,-30,171,23.900504,27.170643
a,-30,172,22.555134,27.325635
a,-30,173,14.344915,28.305049
a,-30,174,6.776020,28.060404
a,-30,175,19.081907,27.481730
a,-30,176,23.162292,27.180770
a,-30,177,18.083389,27.912579
a,-30,178,17.902682,26.628201
a,-30,179,19.737871,28.392597
a,-30,180,18.709458,27.591822
a,-30,181,29.292375,28.537860
a,-30,182,30.204433,27.660463
a,-30,183,8.352361,27.921313
a,-30,184,29.126465,26.192168
a,-30,185,11.187755,27.638302
a,-30,186,18.418976,28.270783
a,-30,187,17.957597,26.274736
a,-30,188,1.685285,26.218504
a,-30,189,25.600412,27.503597
a,-30,190,30.495970,30.063316
a,-30,191,22.636327,27.139491
a,-30,192,19.086554,27.383071
a,-30,193,18.126055,26.511521
a,-30,194,23.583093,28.018069
a,-30,195,17.252161,28.811613
a,-30,196,18.734477,27.930177
a,-30,197,17.716586,27.158182
a,-30,198,18.418212,28.152594
a,-30,199,16.112957,27.747104
a,-30,200,26.483763,27.655352
a,-30,201,15.181131,26.282014
a,-30,202,28.628155,28.139635
a,-30,203,17.078120,26.234612
a,-30,204,20.507526,26.598530
a,-30,205,29.210452,28.527144
a,-30,206,24.328214,27.368756
a,-30,207,15.848583,27.973978
a,-30,208,30.651245,28.131517
a,-30,209,18.094263,25.656718
a,-30,210,16.894742,27.846273
a,-30,211,31.003399,27.740535
a,-30,212,16.852363,27.453799
a,-30,213,17.906257,27.347989
a,-30,214,23.344641,27.728887
a,-30,215,15.754058,26.309005
a,-30,216,19.550852,27.687093
a,-30,217,20.213396,29.092725
a,-30,218,28.413030,28.109915
a,-30,219,30.010547,27.567725
a,-30,220,20.465912,27.669280
a,-30,221,19.382144,27.486568
a,-30,222,17.275304,28.857053
a,-30,223,15.932885,27.810367
a,-30,224,19.352283,27.354374
a,-30,225,18.576919,28.623167
a,-30,226,16.915624,27.554391
a,-30,227,12.625697,27.419589
a,-30,228,17.054069,25.474189
a,-30,229,29.623501,28.728218
a,-30,230,17.002275,26.811373
a,-30,231,26.010529,27.884423
a,-30,232,17.289389,25.683228
a,-30,233,18.018403,27.170529
a,-30,234,23.940841,27.671562
a,-30,235,19.169515,28.045997
a,-30,236,17.781409,28.019629
a,-30,237,18.503003,27.641593
a,-30,238,29.784214,27.873890
a,-30,239,18.353776,26.521405
a,-30,240,16.856940,27.031432
a,-30,241,20.445366,28.212873
a,-30,242,30.138995,27.892361
a,-30,243,30.493710,28.275570
a,-30,244,19.731087,27.535094
a,-30,245,29.807087,28.379867
a,-30,246,18.762079,28.095783
a,-30,247,12.975298,29.794538
a,-30,248,29.030383,28.767308
a,-30,249,9.172623,28.767486
a,-30,250,19.884405,28.492075
a,-30,251,16.455794,24.500585
a,-30,252,15.551022,27.026816
a,-30,253,20.220720,25.570184
a,-30,254,37.062024,29.813623
a,-30,255,18.234447,27.704264
a,-30,256,9.730958,28.384125
a,-30,257,18.061564,24.910386
a,-30,258,18.285440,27.888037
a,-30,259,19.886748,28.544521
a,-30,260,23.316077,27.349022
a,-30,261,28.720221,28.774203
a,-30,262,21.142988,27.376786
a,-30,263,18.042847,28.535907
a,-30,264,16.697132,25.701552
a,-30,265,14.542165,28.318994
a,-30,266,17.800943,28.465438
a,-30,267,17.615175,27.033563
a,-30,268,16.906444,28.737820
a,-30,269,21.093906,27.692834
a,-30,270,29.088359,27.896515
a,-30,271,18.316640,26.881533
a,-30,272,14.168159,26.389412
a,-30,273,17.516988,28.962553
a,-30,274,30.647513,29.042734
a,-30,275,18.243621,26.931557
a,-30,276,23.859368,27.511190
a,-30,277,16.873222,27.554056
a,-30,278,18.610242,26.941095
a,-30,279,16.502223,26.746073
a,-30,280,15.636389,28.928419
a,-30,281,21.189814,25.841655
a,-30,282,19.987959,27.173859
a,-30,283,23.335769,28.555822
a,-30,284,27.109854,27.120085
a,-30,285,20.518725,27.833479
a,-30,286,19.945617,27.527642
a,-30,287,19.657279,26.842023
a,-30,288,29.579159,28.819684
a,-30,289,19.670092,27.107698
a,-30,290,15.205959,27.684935
a,-30,291,15.943430,26.133894
a,-30,292,16.387604,27.656351
a,-30,293,18.220327,28.789885
a,-30,294,19.473404,25.667020
a,-30,295,20.641100,27.450118
a,-30,296,19.549516,26.971221
a,-30,297,17.913866,28.718111
a,-30,298,20.203723,28.470264
a,-30,299,24.097918,26.933838
a,-30,300,20.485285,26.737367
a,-20,1,20.389246,26.534046
a,-20,2,27.862666,27.512421
a,-20,3,18.301780,26.455728
a,-20,4,17.983287,26.654090
a,-20,5,31.837038,27.774619
a,-20,6,18.883724,26.929809
a,-20,7,19.672390,25.985828
a,-20,8,15.970966,27.921511
a,-20,9,15.980675,26.898061
a,-20,10,16.082491,25.027159
a,-20,11,5.385695,26.837999
a,-20,12,18.289124,28.212608
a,-20,13,20.337597,27.550733
a,-20,14,16.027125,25.346805
a,-20,15,20.555145,27.908872
a,-20,16,19.353507,27.281945
a,-20,17,14.964263,25.628549
a,-20,18,14.253348,24.556611
a,-20,19,18.984431,28.068091
a,-20,20,26.962464,28.781351
a,-20,21,9.766738,26.823504
a,-20,22,19.160541,25.847271
a,-20,23,21.354755,27.135290
a,-20,24,19.354355,26.362969
a,-20,25,20.559343,26.592034
a,-20,26,20.799531,28.539461
a,-20,27,4.121062,27.442278
a,-20,28,26.223186,28.515387
a,-20,29,22.828962,27.401748
a,-20,30,13.846306,26.139054
a,-20,31,17.008312,26.103729
a,-20,32,29.306175,26.715419
a,-20,33,18.436058,26.923667
a,-20,34,19.915242,26.377729
a,-20,35,20.684863,27.755423
a,-20,36,21.827804,27.934028
a,-20,37,-0.161501,28.445145
a,-20,38,19.993658,27.963232
a,-20,39,31.098363,29.156337
a,-20,40,17.920452,26.746609
a,-20,41,-0.820062,26.287050
a,-20,42,20.004991,26.228955
a,-20,43,17.317454,27.236956
a,-20,44,17.706875,25.930897
a,-20,45,15.413712,26.917770
a,-20,46,17.643411,26.780813
a,-20,47,18.729632,27.653217
a,-20,48,12.297792,28.200796
a,-20,49,29.294072,27.072787
a,-20,50,14.896647,27.219030
a,-20,51,25.872222,27.407516
a,-20,52,18.905986,26.138234
a,-20,53,22.814805,26.541669
a,-20,54,16.278652,27.571017
a,-20,55,23.532940,26.588925
a,-20,56,15.675168,27.683029
a,-20,57,9.849396,27.412999
a,-20,58,26.086117,27.601129
a,-20,59,24.223917,27.939197
a,-20,60,20.600384,26.464229
a,-20,61,18.382126,25.182112
a,-20,62,17.535231,26.813546
a,-20,63,19.691498,26.260760
a,-20,64,17.459369,26.790034
a,-20,65,15.863173,27.348092
a,-20,66,20.163804,27.543255
a,-20,67,29.243319,28.222858
a,-20,68,15.070528,28.309361
a,-20,69,28.128562,27.941518
a,-20,70,14.741447,27.437553
a,-20,71,17.793248,25.969667
a,-20,72,17.236793,25.773864
a,-20,73,17.806665,27.202048
a,-20,74,15.868921,26.969928
a,-20,75,15.659664,27.955240
a,-20,76,24.254259,27.707575
a,-20,77,20.125167,27.610688
a,-20,78,31.984007,27.674783
a,-20,79,21.260245,28.650879
a,-20,80,23.219851,27.325013
a,-20,81,19.052211,29.091977
a,-20,82,23.376020,27.706393
a,-20,83,18.281021,26.889905
a,-20,84,24.860708,27.797750
a,-20,85,19.194175,26.422561
a,-20,86,22.629415,27.496127
a,-20,87,18.170200,27.217770
a,-20,88,30.310197,28.620911
a,-20,89,29.081875,27.240156
a,-20,90,18.212271,25.616304
a,-20,91,18.046209,28.472523
a,-20,92,20.761790,26.113905
a,-20,93,18.391828,27.990268
a,-20,94,17.845022,27.155003
a,-20,95,17.468628,26.861658
a,-20,96,9.583103,26.163423
a,-20,97,9.990124,26.698510
a,-20,98,18.064819,27.786182
a,-20,99,18.795872,26.519917
a,-20,100,12.960483,27.561794
a,-20,101,20.030224,26.662184
a,-20,102,26.614968,29.018571
a,-20,103,7.941548,27.977319
a,-20,104,28.211634,28.166793
a,-20,105,17.772594,27.126179
a,-20,106,15.446069,26.719379
a,-20,107,12.872801,28.910769
a,-20,108,5.902701,26.370775
a,-20,109,18.588278,27.427207
a,-20,110,19.154488,27.513793
a,-20,111,19.534248,26.686793
a,-20,112,19.896630,27.097490
a,-20,113,25.283412,26.613453
a,-20,114,26.401717,27.713780
a,-20,115,20.262696,27.372292
a,-20,116,26.829673,28.360463
a,-20,117,20.088220,27.176916
a,-20,118,30.356147,28.824520
a,-20,119,19.091540,26.617263
a,-20,120,17.543097,26.394283
a,-20,121,29.964439,27.816522
a,-20,122,22.857373,29.578453
a,-20,123,21.231037,26.047339
a,-20,124,29.941237,27.700438
a,-20,125,28.596998,28.289770
a,-20,126,19.884605,26.863907
a,-20,127,16.896666,25.526749
a,-20,128,19.306469,25.791422
a,-20,129,18.296614,25.143948
a,-20,130,19.875969,25.693131
a,-20,131,7.364396,26.652440
a,-20,132,17.302733,27.031221
a,-20,133,9.761385,25.925145
a,-20,134,18.510808,26.621010
a,-20,135,19.330471,27.366749
a,-20,136,19.258933,26.799528
a,-20,137,16.635856,28.042470
a,-20,138,15.544651,27.781907
a,-20,139,18.827781,25.289261
a,-20,140,14.826834,27.867722
a,-20,141,20.601129,25.936420
a,-20,142,18.557104,28.399034
a,-20,143,22.014249,26.970232
a,-20,144,13.186133,27.159216
a,-20,145,23.547340,26.693009
a,-20,146,29.376139,27.776744
a,-20,147,19.833678,26.869739
a,-20,148,25.895642,28.070864
a,-20,149,19.528900,27.899336
a,-20,150,7.369883,28.863104
a,-20,151,1.985071,26.779574
a,-20,152,17.680539,25.172537
a,-20,153,17.462148,27.834056
a,-20,154,19.053929,26.924308
a,-20,155,19.719123,27.106422
a,-20,156,20.485231,27.886035
a,-20,157,20.174226,27.580416
a,-20,158,25.316937,28.197732
a,-20,159,20.741887,27.603789
a,-20,160,18.775424,27.005190
a,-20,161,16.699484,27.180090
a,-20,162,28.370731,26.496103
a,-20,163,20.514448,27.147128
a,-20,164,18.115318,27.390921
a,-20,165,17.419046,22.413039
a,-20,166,15.627117,25.713762
a,-20,167,17.972608,26.119170
a,-20,168,13.667480,27.030893
a,-20,169,20.245602,27.416170
a,-20,170,23.326771,26.348697
a,-20,171,17.121638,25.745895
a,-20,172,19.243188,25.425949
a,-20,173,17.643739,26.778627
a,-20,174,19.894650,27.756091
a,-20,175,18.276686,26.279896
a,-20,176,29.863390,26.852834
a,-20,177,9.712152,27.686874
a,-20,178,20.018317,26.779339
a,-20,179,17.653249,27.925216
a,-20,180,20.492280,26.614855
a,-20,181,0.727021,27.454086
a,-20,182,17.449810,27.401837
a,-20,183,13.683439,27.189576
a,-20,184,16.961348,24.315594
a,-20,185,18.429719,26.285633
a,-20,186,27.226056,26.942033
a,-20,187,13.930770,24.545767
a,-20,188,19.435884,24.254351
a,-20,189,18.114698,26.127340
a,-20,190,20.198124,25.693127
a,-20,191,26.263932,26.584266
a,-20,192,20.614478,26.163710
a,-20,193,27.136692,27.070360
a,-20,194,22.982937,29.294125
a,-20,195,19.679551,26.651591
a,-20,196,18.574976,28.016695
a,-20,197,20.157466,26.071876
a,-20,198,22.451238,27.275921
a,-20,199,28.201243,27.446680
a,-20,200,17.941190,26.827964
a,-20,201,-1.240748,27.510993
a,-20,202,17.950881,24.371515
a,-20,203,13.959994,26.651029
a,-20,204,21.130893,27.793700
a,-20,205,20.695462,26.407007
a,-20,206,16.929074,27.825052
a,-20,207,22.414807,27.457856
a,-20,208,19.366515,26.108546
a,-20,209,18.117084,27.856706
a,-20,210,18.778629,28.459163
a,-20,211,19.604166,27.253471
a,-20,212,7.577674,25.674212
a,-20,213,18.323867,28.403989
a,-20,214,17.432116,27.278361
a,-20,215,20.361206,27.892459
a,-20,216,17.927686,26.346857
a,-20,217,16.692194,27.465860
a,-20,218,16.194060,26.671716
a,-20,219,18.547388,25.146841
a,-20,220,14.144334,29.575037
a,-20,221,19.747341,28.653250
a,-20,222,17.080693,27.191819
a,-20,223,16.661896,25.414158
a,-20,224,18.098201,25.588770
a,-20,225,17.353911,26.678986
a,-20,226,28.482125,28.336041
a,-20,227,20.449939,27.678162
a,-20,228,16.822800,26.936226
